id,card_name,set_name,set_id,card_image,card_text,card_color,card_type,rarity,card_cost,card_power,attribute,sub_types,counter_amount,life,market_price,inventory_price,updated_at,card_set_id
don_1,DON!! Card (Egghead),The Azure Sea's Seven (OP14),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Egghead_-_The_Azure_Seas_Seven_OP14_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,0.49,0.25,2026-06-15 13:44:17.149+00,
don_10,DON!! Card (Gol.D.Roger) (Gold),Carrying On His Will (OP13),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_GolDRoger_Gold_-_Carrying_On_His_Will_OP13_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,9.09,7.7,2026-06-15 13:44:17.149+00,
don_100,DON!! Card (Portgas.D.Ace) (Devil Fruits Collection Vol. 2),One Piece Promotion Cards (OP-PR),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_PortgasDAce_Devil_Fruits_Collection_Vol_2_-_One_Piece_Promot_uXp0hpX.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,9.75,7.59,2026-06-15 13:44:17.15+00,
don_101,DON!! Card (Iceberg),Premium Booster -The Best- (PRB-01),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Iceberg_-_Premium_Booster_-The_Best-_PRB-01_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,0.62,0.53,2026-06-15 13:44:17.15+00,
don_102,DON!! Card (Sakazuki),Premium Booster -The Best- (PRB-01),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Sakazuki_-_Premium_Booster_-The_Best-_PRB-01_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,0.87,0.48,2026-06-15 13:44:17.15+00,
don_103,DON!! Card (Mihawk & Zoro) (Double Pack Set Vol. 3),Wings of the Captain (OP06),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Mihawk__Zoro_Double_Pack_Set_Vol_3_-_Wings_of_the_Captain_OP06_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,5.36,5.33,2026-06-15 13:44:17.15+00,
don_104,"DON!! Card (Trafalgar Law, Eustass Kid and Monkey.D.Luffy) (Double Pack Set Vol. 4)",500 Years in the Future (OP07),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Trafalgar_Law_Eustass_Kid_and_MonkeyDLuffy_Double_Pack_Set_V_vaW16AM.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,4.11,3.9,2026-06-15 13:44:17.15+00,
don_105,DON!! Card (Luffy vs. Crocodile) (Devil Fruits Collection Vol. 1),One Piece Promotion Cards (OP-PR),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Luffy_vs_Crocodile_Devil_Fruits_Collection_Vol_1_-_One_Piece_JV8n8hM.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,11.21,19.13,2026-06-15 13:44:17.15+00,
don_106,DON!! Card (Smoker) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Smoker_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,41.62,29.99,2026-06-15 13:44:17.15+00,
don_107,DON!! Card (Robin) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Robin_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,167.46,45,2026-06-15 13:44:17.15+00,
don_108,DON!! Card (Sanji) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Sanji_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,63.98,35.99,2026-06-15 13:44:17.15+00,
don_109,DON!! Card (Silver),One Piece Promotion Cards (OP-PR),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Silver_-_One_Piece_Promotion_Cards_OP-PR_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,41.75,25,2026-06-15 13:44:17.15+00,
don_11,DON!! Card (Boa Hancock),Extra Booster: One Piece Heroines Edition (EB-03),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Boa_Hancock_-_Extra_Booster_One_Piece_Heroines_Edition_EB-03_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,2.38,2.12,2026-06-15 13:44:17.149+00,
don_110,DON!! Card (Vivi) (Gold),Premium Booster -The Best- (PRB-01),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Vivi_Gold_-_Premium_Booster_-The_Best-_PRB-01_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,158.45,72,2026-06-15 13:44:17.15+00,
don_111,DON!! Card (GEAR5 Luffy) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_GEAR5_Luffy_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,145.02,57.12,2026-06-15 13:44:17.15+00,
don_112,DON!! Card (Yamato) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Yamato_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,141.92,75,2026-06-15 13:44:17.15+00,
don_113,DON!! Card (Sugar) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Sugar_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,49.58,29,2026-06-15 13:44:17.15+00,
don_114,DON!! Card (Dragon) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Dragon_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,43.46,20,2026-06-15 13:44:17.15+00,
don_115,DON!! Card (One Piece Day Dallas 2025),One Piece Promotion Cards (OP-PR),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_One_Piece_Day_Dallas_2025_-_One_Piece_Promotion_Cards_OP-PR_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,181.02,249.99,2026-06-15 13:44:17.15+00,
don_116,DON!! Card (Luffy) (Gold),Premium Booster -The Best- (PRB-01),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Luffy_Gold_-_Premium_Booster_-The_Best-_PRB-01_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,224.2,85,2026-06-15 13:44:17.15+00,
don_117,DON!! Card (Gear 5),One Piece Promotion Cards (OP-PR),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Gear_5_-_One_Piece_Promotion_Cards_OP-PR_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,19.29,15,2026-06-15 13:44:17.15+00,
don_118,DON!! Card (Carrot) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Carrot_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,86.29,44.98,2026-06-15 13:44:17.15+00,
don_119,DON!! Card (Enel) (Gold),Premium Booster -The Best- (PRB-01),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Enel_Gold_-_Premium_Booster_-The_Best-_PRB-01_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,129.6,110,2026-06-15 13:44:17.15+00,
don_12,DON!! Card (3D Text),One Piece Promotion Cards (OP-PR),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_3D_Text_-_One_Piece_Promotion_Cards_OP-PR_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,3.74,2.75,2026-06-15 13:44:17.149+00,
don_120,DON!! Card (Buggy) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Buggy_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,77.41,40,2026-06-15 13:44:17.15+00,
don_121,DON!! Card (Koby) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Koby_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,71.36,30,2026-06-15 13:44:17.15+00,
don_122,DON!! Card (Lim) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Lim_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,35.92,32.95,2026-06-15 13:44:17.15+00,
don_123,DON!! Card (Marco) (Gold),Premium Booster -The Best- Vol. 2 (PRB-02),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Marco_Gold_-_Premium_Booster_-The_Best-_Vol_2_PRB-02_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,62.69,39.99,2026-06-15 13:44:17.15+00,
don_124,DON!! Card (Pink),One Piece Promotion Cards (OP-PR),DON,https://optcgapi.com/media/static/Card_Images/DON_Card_Pink_-_One_Piece_Promotion_Cards_OP-PR_img.jpg,Your Turn +1000,,DON!!,DON!!,,,,,,,59.63,19.99,2026-06-15 13:44:17.15+00,
