id,card_name,set_name,set_id,card_image,card_text,card_color,card_type,rarity,card_cost,card_power,attribute,sub_types,counter_amount,life,market_price,inventory_price,updated_at,card_set_id
OP17-001,Edward Newgate,OP17,OP-17,,"[On Your Opponent's Attack][Once Per Turn] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +4000 power during this battle.",Red,Leader,L,,5000,Special,Four Emperors/Whitebeard Pirates,,5,,,2026-08-05 00:00:00+00,OP17-001
OP17-002,Atmos,OP17,OP-17,,"[Opponent's Turn] This Character gains +3000 power.",Red,Character,C,4,6000,Slash,Whitebeard Pirates,,,,,2026-08-05 00:00:00+00,OP17-002
OP17-003,Izo,OP17,OP-17,,"[Rush:Character]\n[On Play] If your Leader is [Edward.Newgate] or has the {Land of Wano} Type, give up to 1 of your opponent's rested Characters -6000 power during this turn.",Red,Character,R,4,6000,Special,Land of Wano/Whitebeard Pirates,,,,,2026-08-05 00:00:00+00,OP17-003
OP17-004,Inuarashi & Nekomamushi,OP17,OP-17,,"[On Play] Up to 1 of your {Land of Wano} type Characters or up to 1 of your Characters with a type including ""Whitebeard Pirates"" gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",Red,Character,UC,3,2000,Slash,Minks/Land of Wano/Whitebeard Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-004
OP17-005,Edward.Newgate,OP17,OP-17,,"If your opponent has a Character with 10000 power or more, give this card in your hand -4 cost.\n[On Play] Your monocolored Leader's base power becomes 8000 until the end of your opponent's next End Phase.",Red,Character,SR,10,12000,Special,The Four Emperors/Whitebeard Pirates,,,,,2026-08-05 00:00:00+00,OP17-005
OP17-006,Kingdew,OP17,OP-17,,,Red,Character,UC,7,8000,,Whitebeard Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-006
OP17-007,Kouzuki Oden,OP17,OP-17,,"[On Play] If your Leader is [Edward Newgate] or has the {Land of Wano} type, play up to 1 Character card with a type including {Land of Wano} or ""Whitebeard Pirates"" with 6000 power or less from your hand.",Red,Character,R,7,8000,Slash,Land of Wano/Kouzuki Clan/Whitebeard Pirates,,,,,2026-08-05 00:00:00+00,OP17-007
OP17-008,Jozu,OP17,OP-17,,"[On Play] Your [Edward.Newgate] Leader's base power becomes 8000 until the end of your opponent's next End Phase.",Red,Character,R,0,8000,,Whitebeard Pirates,,,,,2026-08-05 00:00:00+00,OP17-008
OP17-009,Haruta,OP17,OP-17,,"[Opponent's Turn] This Character gains +3000 power.\n[On Play] K.O. up to 1 of your opponent's Characters with 2000 base power or less.",Red,Character,UC,4,5000,Slash,Whitebeard Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-009
OP17-012,Blenheim,OP17,OP-17,,"[Blocker]\n[On K.O.] Play up to 1 card with a cost of 1 and a type including ""Whitebeard Pirates"" from your hand.",Red,Character,C,2,1000,Slash,Whitebeard Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-012
OP17-013,Portgas.D.Ace,OP17,OP-17,,"If your opponent has a Character with 10000 power or more, give this card in your hand -2 cost.\n[On Play] If your Leader is [Edward.Newgate], give up to 1 of your opponent's rested Characters -6000 power during this turn.",Red,Character,UC,6,6000,Special,Whitebeard Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-013
